"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:52:37:710PM)"
"U.S. Direct Investment Abroad,Direct Investment Income Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Luxembourg",161                     ,170                     ,123                     ,74                      ,114                     ,84                      ,104                     ,182                     ,177                     ,192                     ,202                     ,403                     ,1230                   ,1291                   ,1504                   ,1558                   ,1743                   ,3561                   ,2891                   ,5079                   ,7537                   ,9377                   ,8665                   ,12212                  ,17338                  ,19946                  ,20762                  ,20258                  ,31781                  ,23904                  ,28962                  ,36800                  ,35469                  
"  Netherlands",1073                   ,1431                   ,1213                   ,1514                   ,2332                   ,2976                   ,2977                   ,3129                   ,4117                   ,3609                   ,3062                   ,2389                   ,5705                   ,7456                   ,9632                   ,11588                  ,10078                  ,13646                  ,13402                  ,10922                  ,11756                  ,16595                  ,30132                  ,33888                  ,35644                  ,44255                  ,48312                  ,56473                  ,66112                  ,76897                  ,74824                  ,75263                  ,74426                  
"  Norway",1059                   ,811                     ,787                     ,579                     ,401                     ,285                     ,486                     ,738                     ,815                     ,962                     ,660                     ,677                     ,723                     ,686                     ,1148                   ,1169                   ,855                     ,972                     ,1658                   ,1456                   ,1280                   ,1728                   ,2176                   ,2414                   ,3220                   ,4300                   ,10293                  ,5896                   ,9850                   ,8249                   ,6821                   ,6209                   ,5082                   
"  Poland","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",168                     ,124                     ,241                     ,341                     ,401                     ,939                     ,549                     ,897                     ,1536                   ,1543                   ,380                     ,583                     ,829                     ,752                     ,665                     ,489                     
"  Portugal",7                       ,2                       ,4                       ,39                      ,93                      ,148                     ,163                     ,130                     ,161                     ,138                     ,155                     ,193                     ,152                     ,207                     ,260                     ,175                     ,280                     ,315                     ,240                     ,327                     ,182                     ,253                     ,313                     ,402                     ,523                     ,457                     ,312                     ,179                     ,359                     ,202                     ,107                     ,241                     ,276                     
"  Russia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-315                    ,168                     ,76                      ,240                     ,297                     ,521                     ,1253                   ,1980                   ,2934                   ,2339                   ,1901                   ,1690                   ,1279                   ,1357                   ,552                     ,662                     
"  Spain",-90                     ,-42                     ,164                     ,367                     ,501                     ,837                     ,1258                   ,1501                   ,1424                   ,1210                   ,867                     ,53                      ,791                     ,1151                   ,1121                   ,1173                   ,1818                   ,1531                   ,1488                   ,2680                   ,3992                   ,4555                   ,4499                   ,4945                   ,5057                   ,8076                   ,7661                   ,5116                   ,8674                   ,3370                   ,869                     ,3587                   ,2873                   
"  Sweden",72                      ,71                      ,131                     ,129                     ,186                     ,126                     ,185                     ,275                     ,315                     ,155                     ,-19                     ,-70                     ,237                     ,817                     ,707                     ,460                     ,746                     ,951                     ,1074                   ,444                     ,190                     ,1402                   ,1817                   ,2008                   ,1140                   ,1227                   ,1748                   ,-878                    ,934                     ,1549                   ,1767                   ,1447                   ,2060                   
"  Switzerland",1434                   ,1402                   ,1640                   ,1479                   ,1666                   ,2705                   ,2713                   ,3805                   ,4423                   ,3216                   ,2711                   ,4296                   ,4468                   ,4201                   ,4420                   ,5071                   ,6152                   ,6686                   ,5027                   ,6636                   ,10921                  ,12643                  ,14494                  ,15341                  ,14231                  ,14543                  ,19621                  ,17005                  ,18860                  ,18991                  ,18608                  ,22206                  ,22215                  
"  Turkey",20                      ,26                      ,48                      ,50                      ,46                      ,43                      ,36                      ,49                      ,102                     ,88                      ,143                     ,214                     ,93                      ,195                     ,134                     ,115                     ,216                     ,242                     ,243                     ,-13                     ,-79                     ,130                     ,116                     ,262                     ,393                     ,963                     ,486                     ,418                     ,464                     ,500                     ,359                     ,427                     ,415                     
