"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:49:04:500PM)"
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Italy",4316                   ,4535                   ,4745                   ,6137                   ,7745                   ,9726                   ,10046                  ,11221                  ,14063                  ,15085                  ,13015                  ,12748                  ,14808                  ,17096                  ,16193                  ,15547                  ,15548                  ,17889                  ,23484                  ,22883                  ,23771                  ,23092                  ,25184                  ,24528                  ,25435                  ,28216                  ,27663                  ,29944                  ,27137                  ,26896                  ,27317                  ,28018                  ,26733                  
"  Luxembourg",1098                   ,1240                   ,493                     ,795                     ,957                     ,874                     ,1122                   ,1560                   ,1697                   ,1734                   ,2031                   ,5611                   ,6310                   ,5929                   ,7753                   ,10258                  ,14571                  ,22148                  ,27849                  ,50771                  ,62181                  ,68298                  ,83634                  ,79937                  ,125146                 ,144180                 ,172251                 ,219082                 ,272206                 ,357898                 ,408205                 ,445498                 ,465160                 
"  Netherlands",6760                   ,6917                   ,6207                   ,7552                   ,12203                  ,15507                  ,16765                  ,19160                  ,19120                  ,20293                  ,20700                  ,20911                  ,29889                  ,42113                  ,54118                  ,68619                  ,89978                  ,121315                 ,115429                 ,147687                 ,158415                 ,186366                 ,219384                 ,240205                 ,279373                 ,412122                 ,423059                 ,497471                 ,514689                 ,595658                 ,647365                 ,717035                 ,753224                 
"  Norway",2735                   ,3099                   ,2850                   ,3235                   ,3247                   ,3873                   ,4429                   ,3447                   ,4209                   ,4318                   ,3825                   ,3757                   ,5026                   ,4741                   ,5483                   ,6633                   ,6897                   ,5944                   ,4379                   ,4446                   ,6045                   ,7511                   ,8491                   ,8533                   ,9667                   ,12188                  ,24706                  ,24238                  ,28541                  ,32727                  ,43326                  ,41842                  ,39522                  
"  Poland","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",3281                   ,3884                   ,4573                   ,4231                   ,4382                   ,7256                   ,5575                   ,6934                   ,15614                  ,12489                  ,13412                  ,13152                  ,12744                  ,13137                  ,12540                  ,11516                  
"  Portugal",277                     ,222                     ,210                     ,243                     ,302                     ,528                     ,583                     ,"(D)",897                     ,1034                   ,1290                   ,1264                   ,1181                   ,1413                   ,1423                   ,1399                   ,1360                   ,2188                   ,2664                   ,2746                   ,3093                   ,2402                   ,1915                   ,2138                   ,2832                   ,2991                   ,3006                   ,2803                   ,2612                   ,2421                   ,2061                   ,1978                   ,2053                   
"  Russia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",1678                   ,1147                   ,883                     ,1135                   ,2511                   ,6088                   ,9363                   ,11371                  ,15029                  ,19777                  ,20763                  ,10040                  ,11285                  ,13389                  ,13140                  ,9263                   
"  Spain",2350                   ,2331                   ,2224                   ,2407                   ,2882                   ,4334                   ,5220                   ,6500                   ,7868                   ,8088                   ,8757                   ,6689                   ,9572                   ,10856                  ,12252                  ,11541                  ,14221                  ,19970                  ,21236                  ,28174                  ,38001                  ,41119                  ,48409                  ,50197                  ,49356                  ,61093                  ,54194                  ,58341                  ,52390                  ,45351                  ,27978                  ,34146                  ,36363                  
"  Sweden",1103                   ,1064                   ,997                     ,1060                   ,1030                   ,1179                   ,1131                   ,1297                   ,1787                   ,2323                   ,1881                   ,2374                   ,1905                   ,6816                   ,5248                   ,3542                   ,5237                   ,10624                  ,25959                  ,26374                  ,30114                  ,27004                  ,29730                  ,30153                  ,33857                  ,36615                  ,35876                  ,36702                  ,23275                  ,33422                  ,33635                  ,35968                  ,28842                  
"  Switzerland",12863                  ,14257                  ,14877                  ,15888                  ,16608                  ,19691                  ,18709                  ,21144                  ,25099                  ,25682                  ,28698                  ,33056                  ,27908                  ,31125                  ,30744                  ,30634                  ,38225                  ,40532                  ,55377                  ,63768                  ,74229                  ,92750                  ,121790                 ,100692                 ,102022                 ,94675                  ,133222                 ,131707                 ,119891                 ,107341                 ,122417                 ,126652                 ,152879                 
"  Turkey",146                     ,131                     ,248                     ,259                     ,246                     ,238                     ,287                     ,343                     ,522                     ,545                     ,732                     ,995                     ,874                     ,973                     ,1059                   ,1033                   ,1014                   ,1792                   ,1826                   ,1641                   ,1869                   ,2213                   ,2682                   ,2563                   ,3141                   ,5584                   ,4542                   ,3675                   ,4155                   ,4027                   ,4945                   ,4366                   ,4384                   
"  United Kingdom",27537                  ,28086                  ,29265                  ,34066                  ,36974                  ,46489                  ,51734                  ,67722                  ,72707                  ,79819                  ,85176                  ,109208                 ,100817                 ,106332                 ,134559                 ,154462                 ,183035                 ,216638                 ,230762                 ,228230                 ,247952                 ,277246                 ,330416                 ,351513                 ,406358                 ,426357                 ,448412                 ,495382                 ,501247                 ,485029                 ,537041                 ,576516                 ,587943                 
"  Other",524                     ,513                     ,388                     ,377                     ,304                     ,452                     ,338                     ,"(D)",974                     ,1282                   ,1729                   ,3411                   ,5219                   ,6412                   ,8148                   ,8464                   ,9713                   ,7042                   ,7885                   ,9252                   ,9929                   ,10888                  ,11924                  ,12297                  ,16473                  ,33882                  ,40413                  ,43158                  ,44597                  ,56670                  ,61802                  ,68828                  ,68344                  
"Latin America and Other Western Hemisphere",28161                  ,25631                  ,26549                  ,30417                  ,39318                  ,50147                  ,55411                  ,62145                  ,71413                  ,77677                  ,91307                  ,100482                 ,116478                 ,131377                 ,155925                 ,180818                 ,196755                 ,253928                 ,266576                 ,279611                 ,289413                 ,297222                 ,351709                 ,379582                 ,418429                 ,556160                 ,588992                 ,718478                 ,752788                 ,788987                 ,828721                 ,849777                 ,897679                 
"  South America",19834                  ,18931                  ,19133                  ,18115                  ,20416                  ,21921                  ,22473                  ,21806                  ,22933                  ,24607                  ,28760                  ,31210                  ,37673                  ,49170                  ,57372                  ,69507                  ,72593                  ,83477                  ,84220                  ,76809                  ,64603                  ,66256                  ,68685                  ,73311                  ,80477                  ,104732                 ,98603                  ,119765                 ,136598                 ,149562                 ,147490                 ,140508                 ,139421                 
"    Argentina",2864                   ,2697                   ,2735                   ,2698                   ,2931                   ,2818                   ,2682                   ,2215                   ,2531                   ,2831                   ,3327                   ,4442                   ,5692                   ,7660                   ,7893                   ,10980                  ,12327                  ,18865                  ,17488                  ,15535                  ,11288                  ,10663                  ,9201                   ,10103                  ,13174                  ,13692                  ,12197                  ,12610                  ,11747                  ,13885                  ,13393                  ,13447                  ,13418                  
"    Brazil",9290                   ,9154                   ,9425                   ,9110                   ,9498                   ,11128                  ,12767                  ,14025                  ,14384                  ,14997                  ,16313                  ,16772                  ,17885                  ,25002                  ,29105                  ,35778                  ,37195                  ,37184                  ,36717                  ,32027                  ,27598                  ,29553                  ,29485                  ,30882                  ,33504                  ,48807                  ,43953                  ,55380                  ,66963                  ,74840                  ,76821                  ,69335                  ,70457                  
"    Chile",311                     ,160                     ,162                     ,255                     ,473                     ,617                     ,988                     ,1412                   ,1896                   ,2069                   ,2544                   ,2749                   ,5062                   ,6216                   ,8156                   ,9148                   ,9029                   ,10177                  ,10052                  ,10526                  ,8928                   ,9021                   ,10804                  ,11127                  ,10927                  ,16337                  ,16286                  ,25404                  ,30747                  ,33265                  ,27537                  ,28617                  ,27560                  
"    Colombia",1769                   ,2135                   ,2150                   ,2188                   ,3332                   ,3148                   ,2331                   ,1660                   ,1677                   ,1876                   ,3053                   ,2930                   ,3463                   ,3506                   ,3531                   ,4097                   ,3749                   ,3775                   ,3693                   ,3122                   ,2622                   ,2773                   ,2991                   ,4292                   ,3799                   ,4552                   ,5028                   ,6050                   ,6181                   ,6236                   ,7251                   ,7373                   ,7085                   
"    Ecuador",388                     ,443                     ,372                     ,352                     ,410                     ,475                     ,437                     ,301                     ,280                     ,321                     ,295                     ,555                     ,784                     ,889                     ,922                     ,838                     ,904                     ,1116                   ,832                     ,579                     ,809                     ,975                     ,881                     ,941                     ,904                     ,1007                   ,1098                   ,1339                   ,1283                   ,793                     ,571                     ,581                     ,650                     
"    Peru",1990                   ,2082                   ,2003                   ,1368                   ,1239                   ,1141                   ,1124                   ,813                     ,599                     ,492                     ,620                     ,622                     ,971                     ,1335                   ,2281                   ,2147                   ,2148                   ,3148                   ,3130                   ,3197                   ,3310                   ,3401                   ,4773                   ,5542                   ,5561                   ,5964                   ,4448                   ,6435                   ,7196                   ,6216                   ,6651                   ,5364                   ,6486                   
"    Venezuela",2631                   ,1708                   ,1752                   ,1562                   ,1920                   ,2045                   ,1714                   ,932                     ,1087                   ,1427                   ,1972                   ,2362                   ,3087                   ,3634                   ,4474                   ,5339                   ,5912                   ,7385                   ,10531                  ,10069                  ,8671                   ,8438                   ,9109                   ,8934                   ,10922                  ,12871                  ,13545                  ,10248                  ,10255                  ,12086                  ,12781                  ,13365                  ,11169                  
"    Other",591                     ,552                     ,533                     ,583                     ,613                     ,551                     ,431                     ,448                     ,479                     ,594                     ,636                     ,778                     ,728                     ,928                     ,1010                   ,1182                   ,1329                   ,1828                   ,1778                   ,1755                   ,1377                   ,1431                   ,1441                   ,1489                   ,1686                   ,1501                   ,2048                   ,2297                   ,2225                   ,2239                   ,2484                   ,2427                   ,2597                   
"  Central America",10174                  ,10051                  ,10071                  ,10100                  ,10844                  ,12425                  ,13626                  ,17846                  ,20415                  ,23939                  ,25579                  ,28092                  ,30083                  ,33493                  ,37667                  ,48549                  ,56035                  ,73761                  ,73841                  ,60716                  ,65395                  ,64647                  ,73214                  ,82496                  ,91811                  ,102472                 ,101291                 ,97127                  ,97752                  ,98226                  ,114848                 ,113033                 ,118424                 
"    Costa Rica",142                     ,169                     ,164                     ,123                     ,127                     ,161                     ,196                     ,213                     ,251                     ,417                     ,274                     ,298                     ,607                     ,921                     ,1223                   ,1529                   ,2074                   ,1493                   ,1716                   ,1835                   ,1803                   ,840                     ,2687                   ,1598                   ,2105                   ,2267                   ,2414                   ,2155                   ,1827                   ,1849                   ,1034                   ,998                     ,955                     
"    Guatemala",233                     ,213                     ,244                     ,211                     ,175                     ,165                     ,183                     ,111                     ,130                     ,107                     ,115                     ,139                     ,200                     ,233                     ,331                     ,358                     ,498                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Honduras",247                     ,215                     ,286                     ,169                     ,165                     ,183                     ,238                     ,251                     ,262                     ,255                     ,239                     ,159                     ,140                     ,68                      ,129                     ,183                     ,111                     ,347                     ,399                     ,227                     ,181                     ,272                     ,755                     ,821                     ,864                     ,626                     ,809                     ,852                     ,936                     ,799                     ,722                     ,772                     ,754                     
