"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:41:50:703PM)"
"Foreign Direct Investment in the U.S.,Financial Inflow Transactions Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Luxembourg",-2                      ,26                      ,46                      ,-12                     ,113                     ,-175                    ,-42                     ,-11                     ,-318                    ,509                     ,1851                   ,-1359                  ,36                      ,145                     ,1256                   ,3429                   ,-2230                  ,5393                   ,13819                  ,6887                   ,30864                  ,-21498                 ,-1108                  ,14344                  ,7301                   ,4235                   ,17923                  ,16051                  ,6802                   ,17349                  ,29461                  ,11989                  ,7788                   ,31250                  ,16130                  
"  Netherlands",4432                   ,5223                   ,3686                   ,2662                   ,3381                   ,2877                   ,4375                   ,8413                   ,6137                   ,7323                   ,7163                   ,3631                   ,2627                   ,4063                   ,-2006                  ,-1526                  ,12262                  ,12344                  ,6533                   ,41689                  ,33517                  ,24036                  ,4337                   ,6365                   ,8191                   ,-1871                  ,25543                  ,25973                  ,75327                  ,5018                   ,20772                  ,8457                   ,37174                  ,8322                   ,38927                  
"  Norway","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-35                     ,-126                    ,364                     ,288                     ,-33                     ,293                     ,-110                    ,610                     ,407                     ,306                     ,822                     ,687                     ,-533                    ,-945                    ,-99                     ,1371                   ,389                     ,-1261                  ,5265                   ,707                     ,-2707                  ,4545                   ,577                     ,885                     ,7743                   ,2669                   ,1685                   ,2107                   
"  Spain","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",76                      ,63                      ,90                      ,188                     ,403                     ,-222                    ,175                     ,435                     ,789                     ,60                      ,330                     ,361                     ,309                     ,6390                   ,-170                    ,41                      ,672                     ,469                     ,2305                   ,7164                   ,15286                  ,9330                   ,4569                   ,4410                   ,5923                   ,796                     ,1507                   ,2775                   
"  Sweden",265                     ,10                      ,38                      ,339                     ,159                     ,249                     ,1373                   ,746                     ,-95                     ,587                     ,443                     ,-50                     ,1891                   ,226                     ,942                     ,2231                   ,-1243                  ,2540                   ,4683                   ,3892                   ,3546                   ,-368                    ,-19                     ,-14                     ,2452                   ,-1211                  ,-2406                  ,20318                  ,-7662                  ,1381                   ,10903                  ,2779                   ,2055                   ,808                     ,3674                   
"  Switzerland",719                     ,500                     ,898                     ,833                     ,1107                   ,2448                   ,1295                   ,3083                   ,831                     ,5184                   ,-633                    ,502                     ,2385                   ,2881                   ,3954                   ,4066                   ,2438                   ,8970                   ,4509                   ,2503                   ,12124                  ,61789                  ,9751                   ,-3127                  ,12571                  ,6551                   ,1177                   ,-4279                  ,45660                  ,10710                  ,41406                  ,19894                  ,15603                  ,18164                  ,23541                  
"  United Kingdom",2938                   ,4512                   ,5103                   ,3730                   ,7184                   ,5198                   ,11319                  ,25627                  ,19617                  ,18939                  ,4519                   ,3450                   ,-1598                  ,14109                  ,10063                  ,16255                  ,14404                  ,15010                  ,60335                  ,108566                 ,82652                  ,2819                   ,21267                  ,-4385                  ,28137                  ,36132                  ,38547                  ,25434                  ,52609                  ,18373                  ,30069                  ,46316                  ,25310                  ,35895                  ,-102440                
"  Other EC","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",284                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Other",161                     ,236                     ,27                      ,36                      ,141                     ,378                     ,3                       ,56                      ,71                      ,-78                     ,-18                     ,110                     ,67                      ,-155                    ,19                      ,94                      ,195                     ,47                      ,-15                     ,1202                   ,3224                   ,18881                  ,-73                     ,-4907                  ,7412                   ,2992                   ,13254                  ,12855                  ,5323                   ,-6957                  ,-28267                 ,-4827                  ,721                     ,3811                   ,4325                   
"Japan",948                     ,2970                   ,1952                   ,1644                   ,4358                   ,3368                   ,7031                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
