"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:39:13:547PM)"
"Foreign Direct Investment in the U.S.,Foreign Direct Investment Position in the United States on a Historical-Cost Basis" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Luxembourg",261                     ,282                     ,336                     ,297                     ,753                     ,345                     ,263                     ,590                     ,-131                    ,407                     ,2195                   ,734                     ,677                     ,1183                   ,2301                   ,5756                   ,3643                   ,11687                  ,26804                  ,35644                  ,58930                  ,95299                  ,97416                  ,109212                 ,116479                 ,79680                  ,89157                  ,123389                 ,130020                 ,138667                 ,170309                 ,172195                 ,204814                 ,221999                 ,242862                 
"  Netherlands",19140                  ,26824                  ,26191                  ,29182                  ,33728                  ,37056                  ,40717                  ,46636                  ,48128                  ,56734                  ,64671                  ,63113                  ,69107                  ,72893                  ,66600                  ,65116                  ,75349                  ,84915                  ,92298                  ,125010                 ,138894                 ,145554                 ,145596                 ,146601                 ,159601                 ,156602                 ,182014                 ,184613                 ,179938                 ,206622                 ,234408                 ,222465                 ,265882                 ,261358                 ,304848                 
"  Norway","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",352                     ,220                     ,576                     ,773                     ,721                     ,911                     ,1217                   ,1616                   ,2172                   ,2286                   ,3122                   ,3787                   ,2854                   ,2665                   ,2574                   ,3810                   ,4203                   ,2862                   ,9810                   ,10442                  ,7317                   ,11511                  ,9866                   ,10478                  ,16530                  ,18654                  ,17940                  ,17565                  
"  Spain","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",442                     ,511                     ,601                     ,792                     ,1811                   ,1145                   ,1245                   ,2430                   ,3237                   ,2007                   ,2304                   ,2420                   ,2749                   ,5068                   ,4659                   ,4612                   ,5670                   ,5818                   ,7472                   ,13969                  ,25908                  ,30037                  ,38984                  ,43095                  ,45740                  ,47072                  ,48438                  ,58138                  
"  Sweden",1670                   ,1693                   ,1739                   ,2124                   ,2258                   ,2357                   ,3963                   ,4910                   ,4713                   ,5435                   ,5484                   ,5404                   ,7130                   ,7881                   ,8803                   ,9584                   ,8826                   ,10796                  ,17318                  ,18954                  ,21991                  ,20804                  ,20504                  ,20156                  ,22292                  ,22269                  ,20098                  ,45811                  ,32578                  ,28941                  ,38780                  ,41591                  ,41598                  ,39038                  ,41909                  
"  Switzerland",5070                   ,5474                   ,6378                   ,7464                   ,8146                   ,10568                  ,12058                  ,13772                  ,14372                  ,18746                  ,17674                  ,18482                  ,19646                  ,21681                  ,24936                  ,27458                  ,30363                  ,37962                  ,48263                  ,52973                  ,64719                  ,129478                 ,118342                 ,124247                 ,122165                 ,133387                 ,134568                 ,149732                 ,157121                 ,140819                 ,180642                 ,198050                 ,187268                 ,202703                 ,224021                 
"  United Kingdom",14105                  ,18585                  ,28447                  ,32152                  ,38387                  ,43555                  ,55935                  ,75519                  ,95698                  ,103458                 ,98676                  ,100085                 ,86587                  ,98739                  ,98732                  ,116272                 ,121582                 ,129421                 ,137489                 ,153797                 ,277613                 ,197651                 ,211699                 ,217841                 ,267209                 ,371350                 ,414629                 ,405543                 ,447529                 ,414590                 ,400435                 ,446077                 ,463664                 ,501241                 ,448548                 
"  Other EC","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",1536                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Other",842                     ,1065                   ,1064                   ,1061                   ,1251                   ,1382                   ,940                     ,288                     ,388                     ,316                     ,295                     ,435                     ,459                     ,415                     ,451                     ,503                     ,661                     ,751                     ,800                     ,1927                   ,5869                   ,25203                  ,26284                  ,21216                  ,29319                  ,32348                  ,45427                  ,70907                  ,91878                  ,90601                  ,57737                  ,38390                  ,23971                  ,28684                  ,36032                  
"Japan",4723                   ,7697                   ,9677                   ,11336                  ,16044                  ,19313                  ,26824                  ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Australia, New Zealand, and South Africa",428                     ,686                     ,836                     ,999                     ,2152                   ,3324                   ,5634                   ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"Latin America and Other Western Hemisphere",9678                   ,11739                  ,14229                  ,15035                  ,16201                  ,16826                  ,16763                  ,10103                  ,11243                  ,16218                  ,20168                  ,14546                  ,19481                  ,21908                  ,24526                  ,27873                  ,28002                  ,33602                  ,28056                  ,40771                  ,53691                  ,64842                  ,74867                  ,84134                  ,76268                  ,57175                  ,66583                  ,58869                  ,56538                  ,32961                  ,62130                  ,78310                  ,95212                  ,116031                 ,127032                 
"  South and Central America",1260                   ,1426                   ,2806                   ,2747                   ,2859                   ,3491                   ,4190                   ,3935                   ,4331                   ,5819                   ,6140                   ,6818                   ,7725                   ,6518                   ,7021                   ,8067                   ,8823                   ,9632                   ,8972                   ,8340                   ,13384                  ,15498                  ,18860                  ,22910                  ,25001                  ,22507                  ,24171                  ,16685                  ,13581                  ,14583                  ,17943                  ,24783                  ,24125                  ,25108                  ,27123                  
"    Brazil","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",293                     ,286                     ,428                     ,377                     ,534                     ,449                     ,653                     ,625                     ,750                     ,697                     ,706                     ,625                     ,735                     ,882                     ,596                     ,923                     ,548                     ,1195                   ,2051                   ,1054                   ,2091                   ,16                      ,-1430                  ,1357                   ,5077                   ,3410                   ,1104                   ,616                     
"    Mexico","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",180                     ,218                     ,350                     ,575                     ,747                     ,1406                   ,1244                   ,2069                   ,1850                   ,1641                   ,3100                   ,2055                   ,1999                   ,7462                   ,6645                   ,7829                   ,9022                   ,7592                   ,3595                   ,5310                   ,8478                   ,8420                   ,11111                  ,10970                  ,12500                  ,13618                  ,17036                  ,17710                  
"    Panama",811                     ,913                     ,2168                   ,2073                   ,1924                   ,2204                   ,2202                   ,2627                   ,2878                   ,3392                   ,4188                   ,4500                   ,5069                   ,4652                   ,4253                   ,4939                   ,6014                   ,5599                   ,6227                   ,5275                   ,3819                   ,4385                   ,5841                   ,8874                   ,10408                  ,10983                  ,11924                  ,1066                   ,916                     ,1101                   ,952                     ,1135                   ,1038                   ,1346                   ,1185                   
"    Venezuela","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",411                     ,540                     ,1163                   ,496                     ,512                     ,394                     ,-445                    ,-312                    ,-152                    ,-4                      ,-332                    ,-483                    ,-65                     ,792                     ,3814                   ,4304                   ,4349                   ,5009                   ,5292                   ,5380                   ,4051                   ,2402                   ,2612                   ,3122                   ,3898                   ,4379                   ,3871                   ,5127                   
"    Other",449                     ,513                     ,638                     ,674                     ,935                     ,1287                   ,1988                   ,425                     ,409                     ,486                     ,504                     ,525                     ,407                     ,413                     ,387                     ,679                     ,475                     ,559                     ,548                     ,396                     ,429                     ,58                      ,-37                     ,118                     ,796                     ,586                     ,504                     ,999                     ,1827                   ,1191                   ,1543                   ,2173                   ,1681                   ,1751                   ,2485                   
"  Other Western Hemisphere",8418                   ,10313                  ,11422                  ,12289                  ,13343                  ,13335                  ,12573                  ,6168                   ,6911                   ,10399                  ,14028                  ,7728                   ,11756                  ,15389                  ,17504                  ,19806                  ,19180                  ,23969                  ,19084                  ,32431                  ,40307                  ,49344                  ,56007                  ,61224                  ,51268                  ,34668                  ,42412                  ,42185                  ,42957                  ,18377                  ,44187                  ,53527                  ,71087                  ,90923                  ,99909                  
"    Bahamas","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",179                     ,"(D)",-52                     ,1535                   ,-881                    ,613                     ,1276                   ,1023                   ,1286                   ,1883                   ,1702                   ,1619                   ,1581                   ,1254                   ,1203                   ,1299                   ,1227                   ,1122                   ,650                     ,513                     ,760                     ,236                     ,694                     ,1753                   ,443                     ,495                     ,510                     ,597                     
"    Bermuda",727                     ,1062                   ,1337                   ,1168                   ,1370                   ,1691                   ,2002                   ,1087                   ,1067                   ,1012                   ,1550                   ,1871                   ,1006                   ,717                     ,1745                   ,2626                   ,1471                   ,3987                   ,3735                   ,14798                  ,18336                  ,7316                   ,11215                  ,9854                   ,6626                   ,2147                   ,9223                   ,4713                   ,13703                  ,-7646                  ,365                     ,-8818                  ,-11345                 ,-9586                  ,-4757                  
"    Curaçao","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",2604                   ,5207                   ,5162                   ,2779                   
"    Netherlands Antilles",6651                   ,8232                   ,9190                   ,9948                   ,10935                  ,10443                  ,9685                   ,8062                   ,8935                   ,8733                   ,12974                  ,7750                   ,9291                   ,8356                   ,8951                   ,8044                   ,7993                   ,6113                   ,3461                   ,3153                   ,3807                   ,4384                   ,4034                   ,3597                   ,3532                   ,5531                   ,4675                   ,6253                   ,6351                   ,6513                   ,2819                   ,"n.s.","n.s.","n.s.","n.s."
"    United Kingdom Islands, Caribbean",746                     ,766                     ,717                     ,985                     ,866                     ,1028                   ,560                     ,-3335                  ,-3867                  ,-215                    ,-2979                  ,-1468                  ,-426                    ,4078                   ,5273                   ,7207                   ,7595                   ,11556                  ,9885                   ,11573                  ,15191                  ,25620                  ,24255                  ,26202                  ,21702                  ,23063                  ,28367                  ,34353                  ,27799                  ,21227                  ,38477                  ,57345                  ,75009                  ,93635                  ,100000                 
"    Other",295                     ,253                     ,178                     ,188                     ,172                     ,172                     ,326                     ,175                     ,"(D)",922                     ,948                     ,456                     ,1271                   ,963                     ,512                     ,644                     ,237                     ,611                     ,384                     ,1327                   ,1719                   ,10822                  ,15204                  ,20344                  ,18284                  ,3277                   ,-367                    ,-3894                  ,-5132                  ,-2410                  ,772                     ,1952                   ,1721                   ,1203                   ,1291                   
"Africa","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",521                     ,441                     ,505                     ,505                     ,937                     ,1209                   ,1264                   ,1230                   ,1113                   ,994                     ,1463                   ,853                     ,1361                   ,2700                   ,2346                   ,2228                   ,2196                   ,1859                   ,2341                   ,1976                   ,1034                   ,1817                   ,1225                   ,2265                   ,3295                   ,3726                   ,2317                   ,2321                   
"  South Africa","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","(D)",37                      ,26                      ,10                      ,-17                     ,-9                      ,5                       ,-4                      ,-3                      ,-30                     ,-28                     ,120                     ,236                     ,704                     ,576                     ,482                     ,382                     ,372                     ,493                     ,643                     ,239                     ,676                     ,594                     ,699                     ,941                     ,924                     ,880                     ,765                     
"  Other","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","(D)",404                     ,480                     ,496                     ,954                     ,1218                   ,1258                   ,1235                   ,1115                   ,1024                   ,1491                   ,734                     ,1125                   ,1996                   ,1770                   ,1745                   ,1814                   ,1487                   ,1848                   ,1332                   ,796                     ,1142                   ,631                     ,1566                   ,2354                   ,2802                   ,1437                   ,1556                   
"Middle East",916                     ,3588                   ,4401                   ,4446                   ,5336                   ,4954                   ,4870                   ,4973                   ,6570                   ,7588                   ,4425                   ,4864                   ,6057                   ,6575                   ,6608                   ,5801                   ,5812                   ,6773                   ,4126                   ,4362                   ,6506                   ,6082                   ,6758                   ,7177                   ,7899                   ,8306                   ,10112                  ,15028                  ,16233                  ,18177                  ,16808                  ,19463                  ,20785                  ,22073                  ,20338                  
